transaction_id,merchant_id,txn_ts_utc,amount,status,payment_method
t_000029,m_1001,2026-01-01T08:13:56Z,143.35,APPROVED,WALLET
t_000030,m_1007,2026-01-01T02:21:48Z,134.81,APPROVED,WALLET
t_000031,m_1005,2026-01-01T05:38:16Z,133.57,APPROVED,CARD
t_000032,m_1005,2026-01-01T23:32:12Z,179.24,APPROVED,WALLET
t_000033,m_1004,2026-01-01T17:39:28Z,33.33,APPROVED,WALLET
t_000034,m_1001,2026-01-01T20:04:35Z,60.22,APPROVED,CARD
t_000035,m_1006,2026-01-01T21:32:03Z,59.93,DECLINED,WALLET
t_000036,m_1001,2026-01-01T17:32:15Z,72.14,APPROVED,CARD
t_000037,m_1006,2026-01-01T19:29:36Z,120.01,APPROVED,WALLET
t_000038,m_1002,2026-01-01T03:13:06Z,165.94,APPROVED,WALLET
t_000039,m_1004,2026-01-01T01:50:43Z,164.58,APPROVED,CARD
t_000040,m_1004,2026-01-01T11:34:51Z,215.9,APPROVED,CARD
t_000041,m_1005,2026-01-01T15:18:08Z,107.49,APPROVED,CARD
t_000042,m_1007,2026-01-01T02:34:28Z,202.68,DECLINED,CARD
t_000043,m_1001,2026-01-01T22:15:34Z,209.58,DECLINED,CARD
t_000044,m_1002,2026-01-01T13:52:31Z,122.15,DECLINED,CARD
t_000045,m_1002,2026-01-01T12:56:00Z,246.38,APPROVED,WALLET
t_000046,m_1003,2026-01-01T14:26:44Z,239.48,DECLINED,WALLET
t_000047,m_1002,2026-01-01T06:28:18Z,57.16,APPROVED,CARD
t_000048,m_1006,2026-01-01T10:42:03Z,15.86,APPROVED,CARD
t_000049,m_1001,2026-01-01T17:20:05Z,213.36,APPROVED,CARD
t_000050,m_1006,2026-01-01T08:01:25Z,33.05,DECLINED,CARD
t_000051,m_1005,2026-01-01T20:17:02Z,156.18,APPROVED,WALLET
t_000052,m_1003,2026-01-01T06:58:42Z,180.04,APPROVED,WALLET
t_000053,m_1002,2026-01-01T22:55:41Z,77.45,APPROVED,CARD
t_000054,m_1001,2026-01-01T15:38:39Z,249.62,DECLINED,CARD
t_000055,m_1005,2026-01-01T07:16:32Z,68.87,DECLINED,CARD
t_000056,m_1002,2026-01-01T12:36:18Z,42.38,APPROVED,WALLET
t_000057,m_1005,2026-01-01T22:19:33Z,5.43,APPROVED,WALLET
t_000058,m_1006,2026-01-01T03:32:56Z,36.6,APPROVED,CARD
t_000059,m_1006,2026-01-01T18:53:09Z,70.63,APPROVED,WALLET
t_000060,m_1002,2026-01-01T23:27:40Z,213.74,APPROVED,WALLET
t_000061,m_1007,2026-01-01T01:44:05Z,159.85,APPROVED,CARD
t_000062,m_1001,2026-01-01T11:23:49Z,35.75,DECLINED,CARD
t_000063,m_1006,2026-01-01T15:04:35Z,177.45,APPROVED,CARD
t_000064,m_1001,2026-01-01T23:35:57Z,40.24,APPROVED,WALLET
t_000065,m_1005,2026-01-01T18:51:09Z,109.44,APPROVED,WALLET
t_000066,m_1007,2026-01-01T01:21:57Z,91.7,APPROVED,CARD
t_000067,m_1003,2026-01-01T19:06:56Z,219.12,DECLINED,CARD
t_000068,m_1002,2026-01-01T05:32:51Z,203.36,DECLINED,CARD
t_000069,m_1002,2026-01-01T11:20:50Z,232.95,APPROVED,CARD
t_000070,m_1003,2026-01-01T05:26:50Z,176.37,APPROVED,CARD
t_000071,m_1007,2026-01-01T16:03:14Z,52.69,DECLINED,WALLET
t_000072,m_1003,2026-01-01T07:46:14Z,9.33,APPROVED,WALLET
t_000073,m_1003,2026-01-01T02:22:49Z,72.3,APPROVED,WALLET
t_000074,m_1006,2026-01-01T18:18:21Z,235.02,APPROVED,WALLET
t_000075,m_1002,2026-01-01T19:49:16Z,12.93,APPROVED,WALLET
t_000076,m_1006,2026-01-01T10:42:27Z,152.93,APPROVED,WALLET
t_000077,m_1005,2026-01-01T06:29:16Z,14.44,APPROVED,CARD
t_000078,m_1003,2026-01-01T14:43:04Z,237.4,DECLINED,WALLET
t_000079,m_1006,2026-01-01T04:15:46Z,225.36,APPROVED,WALLET
t_000080,m_1003,2026-01-01T13:44:44Z,76.38,APPROVED,WALLET
t_000081,m_1006,2026-01-01T12:56:43Z,187.92,APPROVED,WALLET
t_000082,m_1004,2026-01-01T18:42:53Z,3.6,APPROVED,WALLET
t_000083,m_1007,2026-01-01T19:47:38Z,164.88,APPROVED,WALLET
t_000084,m_1006,2026-01-01T07:17:32Z,120.14,DECLINED,CARD
t_000085,m_1006,2026-01-01T02:53:18Z,130.56,APPROVED,WALLET
t_000086,m_1001,2026-01-01T08:01:43Z,80.02,APPROVED,CARD
t_000087,m_1001,2026-01-01T01:34:15Z,246.04,APPROVED,CARD
t_000088,m_1004,2026-01-01T14:08:56Z,158.74,APPROVED,WALLET
t_000089,m_1004,2026-01-01T13:38:15Z,39.88,APPROVED,CARD
t_000090,m_1007,2026-01-01T14:30:14Z,46.86,DECLINED,WALLET
t_000091,m_1001,2026-01-01T19:01:15Z,229.66,APPROVED,CARD
t_000092,m_1007,2026-01-01T15:51:42Z,134.42,APPROVED,WALLET
t_000093,m_1007,2026-01-01T15:06:39Z,204.4,DECLINED,WALLET
t_000094,m_1007,2026-01-01T18:42:28Z,224.66,APPROVED,WALLET
t_000095,m_1004,2026-01-01T08:50:48Z,64.44,APPROVED,WALLET
t_000096,m_1006,2026-01-01T08:09:17Z,111.93,APPROVED,CARD
t_000097,m_1003,2026-01-01T11:27:20Z,223.63,APPROVED,CARD
t_000098,m_1002,2026-01-01T13:04:44Z,41.17,APPROVED,WALLET
t_000099,m_1004,2026-01-01T11:17:34Z,118.35,APPROVED,WALLET
t_000100,m_1004,2026-01-01T19:56:44Z,8.31,DECLINED,WALLET
t_000101,m_1004,2026-01-01T00:12:22Z,77.11,APPROVED,WALLET
t_000102,m_1005,2026-01-01T18:38:51Z,152.2,APPROVED,CARD
t_000103,m_1003,2026-01-01T14:52:31Z,10.65,APPROVED,WALLET
t_000104,m_1006,2026-01-01T05:38:53Z,118.71,APPROVED,CARD
t_000105,m_1004,2026-01-01T20:12:36Z,166.93,APPROVED,WALLET
t_000106,m_1002,2026-01-01T15:45:11Z,15.9,APPROVED,CARD
t_000107,m_1004,2026-01-01T11:09:21Z,191.14,APPROVED,WALLET
t_000108,m_1003,2026-01-01T02:47:30Z,8.28,APPROVED,WALLET
t_000109,m_1002,2026-01-01T22:11:04Z,196.07,APPROVED,CARD
t_000110,m_1002,2026-01-01T06:48:53Z,8.52,APPROVED,CARD
t_000111,m_1004,2026-01-01T22:51:07Z,142.52,APPROVED,WALLET
t_000112,m_1007,2026-01-01T12:35:10Z,152.85,DECLINED,CARD
t_000113,m_1007,2026-01-01T05:35:19Z,30.15,APPROVED,WALLET
t_000114,m_1005,2026-01-01T23:07:58Z,239.69,APPROVED,CARD
t_000115,m_1001,2026-01-01T20:12:44Z,208.24,APPROVED,WALLET
t_000116,m_1007,2026-01-01T23:21:38Z,202.06,APPROVED,CARD
t_000117,m_1003,2026-01-01T18:11:27Z,166.57,APPROVED,WALLET
t_000118,m_1001,2026-01-01T14:20:52Z,124.33,APPROVED,WALLET
t_000119,m_1006,2026-01-01T15:41:45Z,41.21,APPROVED,WALLET
t_000120,m_1005,2026-01-01T18:22:49Z,122.68,APPROVED,WALLET
t_000121,m_1003,2026-01-01T08:22:53Z,233.88,APPROVED,WALLET
t_000122,m_1002,2026-01-01T15:51:36Z,153.95,APPROVED,CARD
t_000123,m_1004,2026-01-01T11:05:11Z,123.68,APPROVED,WALLET
t_000124,m_1003,2026-01-01T09:32:56Z,150.45,DECLINED,CARD
t_000125,m_1005,2026-01-01T06:31:05Z,62.99,APPROVED,CARD
t_000126,m_1006,2026-01-01T16:15:41Z,178.97,APPROVED,CARD
t_000127,m_1001,2026-01-01T10:02:14Z,103.18,APPROVED,WALLET
t_000128,m_1004,2026-01-01T18:53:33Z,88.24,DECLINED,WALLET
t_000129,m_1003,2026-01-01T23:59:29Z,70.28,APPROVED,CARD
t_000130,m_1006,2026-01-01T06:34:20Z,32.97,APPROVED,CARD
t_000131,m_1002,2026-01-01T07:23:47Z,122.85,APPROVED,WALLET
t_000132,m_1001,2026-01-01T06:37:18Z,59.57,APPROVED,CARD
t_000133,m_1006,2026-01-01T18:13:08Z,71.12,DECLINED,WALLET
t_000134,m_1006,2026-01-01T04:18:40Z,217.58,APPROVED,CARD
t_000135,m_1005,2026-01-01T09:42:30Z,121.5,APPROVED,CARD
t_000136,m_1003,2026-01-01T16:18:07Z,206.15,APPROVED,CARD
t_000137,m_1005,2026-01-01T21:29:43Z,16.71,APPROVED,WALLET
t_000138,m_1001,2026-01-01T08:28:07Z,141.07,APPROVED,CARD
t_000139,m_1007,2026-01-01T17:50:24Z,114.55,APPROVED,WALLET
t_000140,m_1003,2026-01-01T19:24:39Z,18.35,DECLINED,CARD
t_000141,m_1007,2026-01-01T07:05:40Z,55.52,APPROVED,CARD
t_000142,m_1002,2026-01-01T05:55:35Z,22.0,APPROVED,WALLET
t_000143,m_1006,2026-01-01T20:16:30Z,75.3,APPROVED,WALLET
t_000144,m_1006,2026-01-01T15:29:04Z,172.94,DECLINED,CARD
t_000145,m_1004,2026-01-01T03:55:34Z,58.92,APPROVED,WALLET
t_000146,m_1007,2026-01-01T04:51:04Z,18.2,APPROVED,WALLET
t_000147,m_1004,2026-01-01T04:14:29Z,173.26,APPROVED,WALLET
t_000148,m_1005,2026-01-01T18:25:31Z,111.41,APPROVED,WALLET
t_000149,m_1006,2026-01-01T11:00:38Z,65.22,APPROVED,CARD
t_000150,m_1007,2026-01-01T22:56:52Z,69.93,APPROVED,CARD
t_000151,m_1004,2026-01-01T17:42:41Z,112.51,APPROVED,WALLET
t_000152,m_1006,2026-01-01T16:47:05Z,119.36,APPROVED,WALLET
t_000153,m_1006,2026-01-01T03:34:54Z,43.14,APPROVED,WALLET
t_000154,m_1003,2026-01-01T22:36:25Z,204.04,APPROVED,WALLET
t_000155,m_1001,2026-01-01T10:44:16Z,83.19,DECLINED,WALLET
t_000156,m_1007,2026-01-01T17:33:52Z,247.07,APPROVED,WALLET
t_000157,m_1004,2026-01-01T01:51:12Z,131.3,APPROVED,WALLET
t_000158,m_1006,2026-01-01T15:05:48Z,16.22,APPROVED,CARD
t_000159,m_1003,2026-01-01T14:57:56Z,175.62,APPROVED,CARD
t_000160,m_1006,2026-01-01T05:24:19Z,139.28,APPROVED,CARD
t_000161,m_1002,2026-01-01T03:52:29Z,236.95,APPROVED,CARD
t_000162,m_1004,2026-01-01T09:57:32Z,177.38,APPROVED,WALLET
t_000163,m_1004,2026-01-01T08:19:29Z,139.39,APPROVED,CARD
t_000164,m_1007,2026-01-01T02:22:17Z,193.96,DECLINED,WALLET
t_000165,m_1007,2026-01-01T17:19:17Z,205.77,APPROVED,WALLET
t_000166,m_1007,2026-01-01T20:02:37Z,249.73,APPROVED,CARD
t_000167,m_1004,2026-01-01T18:23:30Z,88.57,APPROVED,WALLET
t_000168,m_1004,2026-01-01T10:59:55Z,50.0,APPROVED,WALLET
t_000169,m_1002,2026-01-01T14:01:02Z,81.93,APPROVED,WALLET
t_000170,m_1004,2026-01-01T22:39:50Z,205.81,DECLINED,WALLET
t_000171,m_1001,2026-01-01T04:18:32Z,241.46,APPROVED,CARD
t_000172,m_1007,2026-01-01T15:01:06Z,133.15,APPROVED,CARD
t_000173,m_1004,2026-01-01T22:20:09Z,21.95,APPROVED,WALLET
t_000174,m_1003,2026-01-01T21:16:44Z,101.48,APPROVED,WALLET
t_000175,m_1007,2026-01-01T23:01:54Z,135.04,DECLINED,WALLET
t_000176,m_1007,2026-01-01T18:28:02Z,155.7,APPROVED,WALLET
t_000177,m_1002,2026-01-01T03:05:27Z,244.66,APPROVED,CARD
t_000178,m_1004,2026-01-01T05:40:44Z,77.32,APPROVED,WALLET
t_000179,m_1007,2026-01-01T01:54:18Z,91.86,APPROVED,CARD
t_000180,m_1005,2026-01-01T14:03:36Z,171.56,APPROVED,CARD
t_000181,m_1001,2026-01-01T20:48:55Z,97.8,APPROVED,WALLET
t_000182,m_1005,2026-01-01T04:53:14Z,117.17,APPROVED,WALLET
t_000183,m_1006,2026-01-01T00:19:57Z,201.84,DECLINED,CARD
t_000184,m_1001,2026-01-01T15:04:22Z,246.96,APPROVED,WALLET
t_000185,m_1006,2026-01-01T08:32:29Z,211.87,APPROVED,WALLET
t_000186,m_1007,2026-01-01T16:29:06Z,61.97,APPROVED,WALLET
t_000187,m_1006,2026-01-01T10:04:01Z,244.56,APPROVED,WALLET
t_000188,m_1001,2026-01-01T19:19:55Z,172.55,APPROVED,CARD
t_000189,m_1005,2026-01-01T16:57:53Z,226.37,APPROVED,CARD
t_000190,m_1005,2026-01-01T12:01:14Z,160.43,APPROVED,CARD
t_000191,m_1006,2026-01-01T03:18:57Z,158.17,APPROVED,WALLET
t_000192,m_1001,2026-01-01T19:46:23Z,184.03,APPROVED,WALLET
t_000193,m_1003,2026-01-01T14:10:11Z,53.0,APPROVED,WALLET
t_000194,m_1005,2026-01-01T17:07:58Z,70.68,APPROVED,WALLET
t_000195,m_1007,2026-01-01T10:04:47Z,218.05,APPROVED,WALLET
t_000196,m_1001,2026-01-01T04:48:48Z,241.74,DECLINED,WALLET
t_000197,m_1007,2026-01-01T19:01:23Z,25.76,APPROVED,WALLET
t_000198,m_1005,2026-01-01T04:13:29Z,94.36,APPROVED,WALLET
t_000199,m_1005,2026-01-01T13:00:52Z,160.9,APPROVED,CARD
t_000200,m_1004,2026-01-01T00:51:39Z,221.46,APPROVED,CARD
t_000201,m_1006,2026-01-01T02:09:40Z,206.58,DECLINED,WALLET
t_000202,m_1006,2026-01-01T13:56:07Z,37.96,DECLINED,WALLET
t_000203,m_1004,2026-01-01T03:57:06Z,61.38,APPROVED,WALLET
t_000204,m_1004,2026-01-01T12:39:42Z,237.52,APPROVED,WALLET
t_000205,m_1005,2026-01-01T05:16:56Z,105.77,APPROVED,WALLET
t_000206,m_1005,2026-01-01T13:55:17Z,11.56,APPROVED,WALLET
t_000207,m_1004,2026-01-01T08:03:54Z,92.9,DECLINED,WALLET
t_000208,m_1005,2026-01-01T22:00:22Z,18.43,APPROVED,CARD
t_000209,m_1007,2026-01-01T15:31:05Z,166.87,APPROVED,CARD
t_000210,m_1001,2026-01-01T11:23:15Z,247.24,APPROVED,CARD
t_000211,m_1001,2026-01-01T18:55:13Z,148.04,APPROVED,CARD
t_000212,m_1003,2026-01-01T05:02:50Z,225.48,APPROVED,CARD
t_000213,m_1002,2026-01-01T18:26:16Z,200.33,APPROVED,CARD
t_000214,m_1002,2026-01-01T00:30:22Z,198.23,APPROVED,WALLET
t_000215,m_1001,2026-01-01T05:56:16Z,16.42,APPROVED,CARD
t_000216,m_1006,2026-01-01T02:10:30Z,114.0,APPROVED,CARD
t_000217,m_1004,2026-01-01T17:11:14Z,236.54,APPROVED,WALLET
t_000218,m_1004,2026-01-01T21:57:01Z,18.49,APPROVED,WALLET
t_000219,m_1004,2026-01-01T23:25:06Z,124.35,DECLINED,CARD
t_000220,m_1001,2026-01-01T10:59:38Z,40.06,APPROVED,WALLET
t_000221,m_1004,2026-01-01T20:23:33Z,76.19,APPROVED,WALLET
t_000222,m_1001,2026-01-01T23:57:07Z,213.71,APPROVED,CARD
t_000223,m_1004,2026-01-01T15:24:56Z,59.82,APPROVED,WALLET
t_000224,m_1004,2026-01-01T14:11:46Z,26.94,APPROVED,WALLET
t_000225,m_1003,2026-01-01T05:12:43Z,231.02,APPROVED,CARD
t_000226,m_1001,2026-01-01T14:44:06Z,187.04,APPROVED,CARD
t_000227,m_1005,2026-01-01T02:02:37Z,239.31,APPROVED,CARD
t_000228,m_1004,2026-01-01T12:04:55Z,167.51,APPROVED,CARD
t_000229,m_1003,2026-01-01T20:29:19Z,90.18,APPROVED,CARD
t_000230,m_1002,2026-01-01T22:24:30Z,58.78,APPROVED,WALLET
t_000231,m_1001,2026-01-01T09:30:36Z,59.25,APPROVED,CARD
t_000232,m_1005,2026-01-01T22:27:53Z,174.44,APPROVED,WALLET
t_000233,m_1006,2026-01-01T10:32:58Z,87.27,APPROVED,CARD
t_000234,m_1005,2026-01-01T22:26:25Z,20.65,APPROVED,CARD
t_000235,m_1001,2026-01-01T18:06:13Z,96.23,APPROVED,CARD
t_000236,m_1003,2026-01-01T10:38:46Z,83.46,DECLINED,CARD
t_000237,m_1001,2026-01-01T05:18:10Z,189.47,APPROVED,CARD
t_000238,m_1003,2026-01-01T15:07:42Z,108.02,APPROVED,WALLET
t_000239,m_1003,2026-01-01T07:21:48Z,129.79,APPROVED,CARD
t_000240,m_1003,2026-01-01T23:08:43Z,149.71,APPROVED,WALLET
t_000241,m_1001,2026-01-01T07:31:25Z,246.17,APPROVED,CARD
t_000242,m_1003,2026-01-01T07:12:49Z,37.33,APPROVED,WALLET
t_000243,m_1001,2026-01-01T00:15:31Z,187.64,APPROVED,WALLET
t_000244,m_1005,2026-01-01T07:51:32Z,141.23,APPROVED,WALLET
t_000245,m_1001,2026-01-01T13:33:55Z,186.41,APPROVED,WALLET
t_000246,m_1001,2026-01-01T10:41:36Z,109.32,APPROVED,WALLET
t_000247,m_1003,2026-01-01T03:55:25Z,8.64,APPROVED,WALLET
t_000248,m_1007,2026-01-01T23:32:58Z,92.7,APPROVED,CARD
t_000249,m_1002,2026-01-01T14:52:37Z,102.21,APPROVED,WALLET
t_000250,m_1006,2026-01-01T11:35:14Z,85.6,APPROVED,CARD
t_000251,m_1005,2026-01-02T17:24:12Z,226.81,APPROVED,CARD
t_000252,m_1002,2026-01-02T03:30:09Z,66.6,APPROVED,CARD
t_000253,m_1007,2026-01-02T22:22:04Z,47.17,APPROVED,WALLET
t_000254,m_1004,2026-01-02T19:14:48Z,146.34,APPROVED,WALLET
t_000255,m_1007,2026-01-02T21:24:20Z,40.71,APPROVED,WALLET
t_000256,m_1006,2026-01-02T10:20:50Z,71.21,APPROVED,CARD
t_000257,m_1003,2026-01-02T15:45:28Z,12.77,APPROVED,WALLET
t_000258,m_1001,2026-01-02T22:00:55Z,244.42,APPROVED,WALLET
t_000259,m_1004,2026-01-02T19:48:35Z,238.72,APPROVED,CARD
t_000260,m_1004,2026-01-02T19:30:41Z,49.9,APPROVED,CARD
t_000261,m_1001,2026-01-02T15:22:06Z,203.4,APPROVED,CARD
t_000262,m_1005,2026-01-02T22:03:11Z,13.15,APPROVED,WALLET
t_000263,m_1005,2026-01-02T17:50:39Z,42.63,APPROVED,WALLET
t_000264,m_1004,2026-01-02T13:57:49Z,86.91,APPROVED,WALLET
t_000265,m_1001,2026-01-02T11:15:06Z,141.04,APPROVED,WALLET
t_000266,m_1006,2026-01-02T22:24:58Z,152.07,APPROVED,CARD
t_000267,m_1005,2026-01-02T22:39:09Z,229.48,APPROVED,WALLET
t_000268,m_1002,2026-01-02T20:18:45Z,234.72,APPROVED,WALLET
t_000269,m_1006,2026-01-02T11:12:52Z,35.0,APPROVED,CARD
t_000270,m_1006,2026-01-02T22:53:27Z,128.84,APPROVED,WALLET
t_000271,m_1002,2026-01-02T07:18:21Z,237.1,APPROVED,CARD
t_000272,m_1002,2026-01-02T05:17:04Z,76.41,APPROVED,CARD
t_000273,m_1006,2026-01-02T11:29:56Z,192.39,APPROVED,WALLET
t_000274,m_1002,2026-01-02T05:32:11Z,208.43,APPROVED,CARD
t_000275,m_1006,2026-01-02T14:56:02Z,104.78,APPROVED,CARD
t_000276,m_1004,2026-01-02T20:50:18Z,188.96,APPROVED,CARD
t_000277,m_1005,2026-01-02T08:09:19Z,241.52,APPROVED,CARD
t_000278,m_1003,2026-01-02T23:09:36Z,246.16,APPROVED,WALLET
t_000279,m_1007,2026-01-02T13:02:32Z,133.52,DECLINED,CARD
t_000280,m_1007,2026-01-02T20:38:08Z,218.69,APPROVED,WALLET
t_000281,m_1007,2026-01-02T12:40:35Z,233.8,APPROVED,CARD
t_000282,m_1003,2026-01-02T02:51:48Z,43.02,APPROVED,CARD
t_000283,m_1007,2026-01-02T14:55:05Z,236.79,APPROVED,WALLET
t_000284,m_1003,2026-01-02T00:54:26Z,16.63,APPROVED,CARD
t_000285,m_1004,2026-01-02T02:47:23Z,58.85,APPROVED,CARD
t_000286,m_1007,2026-01-02T22:11:21Z,198.58,APPROVED,WALLET
t_000287,m_1007,2026-01-02T16:07:44Z,208.37,APPROVED,WALLET
t_000288,m_1004,2026-01-02T21:00:00Z,226.79,APPROVED,CARD
t_000289,m_1007,2026-01-02T05:06:35Z,235.27,APPROVED,WALLET
t_000290,m_1001,2026-01-02T09:50:15Z,77.73,APPROVED,WALLET
t_000291,m_1006,2026-01-02T21:15:29Z,18.98,APPROVED,WALLET
t_000292,m_1005,2026-01-02T18:17:01Z,159.28,APPROVED,CARD
t_000293,m_1003,2026-01-02T14:39:00Z,155.05,APPROVED,WALLET
t_000294,m_1002,2026-01-02T22:40:42Z,24.6,DECLINED,CARD
t_000295,m_1005,2026-01-02T18:34:32Z,197.35,APPROVED,CARD
t_000296,m_1004,2026-01-02T16:02:02Z,160.19,DECLINED,WALLET
t_000297,m_1006,2026-01-02T00:33:22Z,197.87,APPROVED,CARD
t_000298,m_1007,2026-01-02T19:51:47Z,190.02,APPROVED,WALLET
t_000299,m_1005,2026-01-02T11:33:52Z,161.95,APPROVED,WALLET
t_000300,m_1006,2026-01-02T16:20:40Z,48.43,APPROVED,WALLET
t_000301,m_1001,2026-01-02T10:00:12Z,14.3,APPROVED,CARD
t_000302,m_1003,2026-01-02T10:35:32Z,101.66,APPROVED,WALLET
t_000303,m_1003,2026-01-02T01:14:48Z,162.96,APPROVED,CARD
t_000304,m_1007,2026-01-02T22:22:21Z,70.85,APPROVED,WALLET
t_000305,m_1004,2026-01-02T15:00:57Z,239.27,APPROVED,CARD
t_000306,m_1004,2026-01-02T23:37:31Z,94.05,APPROVED,WALLET
t_000307,m_1007,2026-01-02T02:49:46Z,108.14,APPROVED,CARD
t_000308,m_1005,2026-01-02T10:01:20Z,28.79,APPROVED,WALLET
t_000309,m_1003,2026-01-02T15:13:38Z,180.4,APPROVED,WALLET
t_000310,m_1003,2026-01-02T15:15:02Z,182.66,DECLINED,WALLET
t_000311,m_1003,2026-01-02T21:49:50Z,237.16,APPROVED,WALLET
t_000312,m_1003,2026-01-02T17:30:51Z,188.35,APPROVED,CARD
t_000313,m_1002,2026-01-02T20:44:43Z,196.09,APPROVED,CARD
t_000314,m_1002,2026-01-02T22:01:23Z,92.77,DECLINED,CARD
t_000315,m_1005,2026-01-02T05:14:43Z,114.41,APPROVED,WALLET
t_000316,m_1007,2026-01-02T02:37:36Z,37.44,APPROVED,WALLET
t_000317,m_1006,2026-01-02T09:30:15Z,240.27,APPROVED,CARD
t_000318,m_1004,2026-01-02T17:40:24Z,228.69,APPROVED,WALLET
t_000319,m_1006,2026-01-02T15:13:13Z,249.1,APPROVED,WALLET
t_000320,m_1002,2026-01-02T04:11:08Z,213.72,APPROVED,WALLET
t_000321,m_1001,2026-01-02T23:16:54Z,246.69,APPROVED,CARD
t_000322,m_1005,2026-01-02T18:30:18Z,223.21,DECLINED,CARD
t_000323,m_1007,2026-01-02T12:20:32Z,58.78,DECLINED,CARD
t_000324,m_1002,2026-01-02T16:51:01Z,92.46,APPROVED,WALLET
t_000325,m_1007,2026-01-02T18:49:08Z,154.35,APPROVED,WALLET
t_000326,m_1004,2026-01-02T16:20:33Z,104.76,APPROVED,CARD
t_000327,m_1002,2026-01-02T10:49:41Z,21.78,APPROVED,WALLET
t_000328,m_1002,2026-01-02T18:49:40Z,148.39,APPROVED,CARD
t_000329,m_1004,2026-01-02T17:09:58Z,217.51,APPROVED,CARD
t_000330,m_1003,2026-01-02T05:37:10Z,83.04,APPROVED,WALLET
t_000331,m_1005,2026-01-02T09:41:54Z,22.94,APPROVED,WALLET
t_000332,m_1002,2026-01-02T21:20:19Z,154.96,APPROVED,CARD
t_000333,m_1005,2026-01-02T19:49:09Z,45.7,APPROVED,WALLET
t_000334,m_1007,2026-01-02T19:14:02Z,206.92,APPROVED,CARD
t_000335,m_1006,2026-01-02T19:41:16Z,164.0,APPROVED,WALLET
t_000336,m_1005,2026-01-02T21:48:01Z,126.27,APPROVED,WALLET
t_000337,m_1006,2026-01-02T10:18:30Z,63.86,APPROVED,WALLET
t_000338,m_1003,2026-01-02T15:28:04Z,173.24,APPROVED,WALLET
t_000339,m_1004,2026-01-02T15:51:13Z,87.36,APPROVED,WALLET
t_000340,m_1006,2026-01-02T11:47:25Z,35.73,APPROVED,CARD
t_000341,m_1003,2026-01-02T08:15:29Z,33.7,APPROVED,CARD
t_000342,m_1001,2026-01-02T01:43:18Z,236.54,DECLINED,WALLET
t_000343,m_1002,2026-01-02T05:27:52Z,84.21,APPROVED,WALLET
t_000344,m_1002,2026-01-02T05:26:31Z,249.01,APPROVED,WALLET
t_000345,m_1004,2026-01-02T00:47:05Z,236.5,APPROVED,CARD
t_000346,m_1002,2026-01-02T19:54:22Z,15.49,APPROVED,WALLET
t_000347,m_1003,2026-01-02T18:19:00Z,212.33,APPROVED,WALLET
t_000348,m_1006,2026-01-02T12:29:48Z,102.9,APPROVED,CARD
t_000349,m_1005,2026-01-02T19:10:12Z,92.86,APPROVED,WALLET
t_000350,m_1005,2026-01-02T15:22:48Z,139.04,APPROVED,CARD
t_000351,m_1002,2026-01-02T03:18:25Z,95.49,DECLINED,WALLET
t_000352,m_1007,2026-01-02T04:55:12Z,152.01,APPROVED,CARD
